Customer ID,Food Quality,Hygiene,Service,Value for Money,Staff Behavior,Ambience,Cleanliness,Waiting Time,Billing Experience,Product Availability,Ease of Access,Customer Support,Menu Variety,Online Services
1001,Dissatisfied,Highly Satisfied,Neutral,Satisfied,Highly Satisfied,Neutral,Satisfied,Dissatisfied,Neutral,Highly Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied
1002,Dissatisfied,Neutral,Highly Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Highly Satisfied,Satisfied
1003,Dissatisfied,Satisfied,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Highly Satisfied,Satisfied
1004,Highly Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Highly Satisfied
1005,Neutral,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Dissatisfied,Neutral,Satisfied,Neutral,Neutral,Highly Satisfied
1006,Neutral,Satisfied,Satisfied,Highly Satisfied,Neutral,Neutral,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Satisfied,Dissatisfied,Highly Satisfied
1007,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied
1008,Dissatisfied,Highly Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Dissatisfied
1009,Satisfied,Neutral,Dissatisfied,Neutral,Neutral,Highly Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Neutral,Highly Satisfied,Dissatisfied,Highly Satisfied
1010,Highly Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral
1011,Dissatisfied,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Highly Satisfied,Dissatisfied
1012,Dissatisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Highly Satisfied,Neutral,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Dissatisfied
1013,Dissatisfied,Highly Satisfied,Satisfied,Highly Satisfied,Dissatisfied,Neutral,Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied
1014,Highly Satisfied,Neutral,Dissatisfied,Satisfied,Satisfied,Highly Satisfied,Satisfied,Satisfied,Neutral,Neutral,Highly Satisfied,Satisfied,Dissatisfied,Dissatisfied
1015,Satisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied,Satisfied,Satisfied,Neutral,Highly Satisfied,Neutral,Highly Satisfied,Neutral
1016,Highly Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Satisfied,Neutral,Highly Satisfied,Highly Satisfied
1017,Neutral,Satisfied,Highly Satisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,Satisfied,Neutral,Highly Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied
1018,Dissatisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Highly Satisfied,Neutral,Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Neutral,Satisfied
1019,Dissatisfied,Neutral,Neutral,Highly Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Satisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied
1020,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Highly Satisfied
1021,Highly Satisfied,Neutral,Highly Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Satisfied,Neutral,Dissatisfied
